comment_text,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,random_feature_1,random_feature_2,toxic
Зачем ты вообще пишешь?,21,5,5,2,2,0.8632906606500136,17,0,0.4549489211784802,7,1
ТВОИ СЛОВА — ЭТО ПОЛНЫЙ ПРОВАЛ.,33,6,4,3,1,0.34200460016688017,14,1,0.3208349292816104,2,1
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,23,3,4,2,2,0.4205059269928235,17,1,0.6043680376123013,1,1
Ты только тратишь время людей.,31,4,5,3,2,0.7737349138514534,19,0,0.22780344419070098,8,1
Спасибо за вашу помощь! !,23,6,1,0,5,0.09618623364601997,18,1,0.4302778048382794,5,0
Твои слова — это полный провал.,32,5,4,2,0,0.9345115667705178,19,1,0.37366549472580357,5,1
Это просто бред.,16,2,2,2,2,0.7412992076055483,12,1,0.5719176115040059,5,1
Какой ужасный комментарий.,25,3,4,3,3,0.15417859822938795,19,1,0.03800993688265253,1,1
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ. ?,33,5,4,1,5,0.11543329576178518,20,1,0.9430015080165223,4,1
"Мне нравится, как вы объясняете.",34,6,1,0,4,0.7642512238308231,20,0,0.197153815854617,9,0
Это просто бред.,14,2,5,3,1,0.984684504343232,13,0,0.20904680140403575,5,1
Спасибо за вашу помощь! ТЕКСТ,27,5,3,0,3,0.46628861854721704,20,1,0.8572095615575596,4,0
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ.,32,5,3,2,5,0.5450011817405397,21,0,0.5742671773854342,8,1
ты ничего не понимаешь!,23,4,4,3,4,0.2381269879979585,16,0,0.3136124457307955,2,1
Ты ничего не понимаешь!,21,3,5,1,1,0.8707164749991289,14,1,0.6256178258124853,7,1
Ты совершенно некомпетентен. !,29,3,2,2,4,0.7706127992660485,17,0,0.5789957967782596,10,1
Это замечательный комментарий! пример,39,5,1,2,2,0.04874061305492039,18,1,0.7570541622297894,5,0
"Ужасный пост, удали это. !",28,4,4,1,0,0.7154880878271243,17,1,0.6756468515522044,6,1
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ.,28,2,4,1,3,0.025033507355904483,17,0,0.08629505681651417,9,1
"Это была интересная статья, спасибо.",36,4,0,2,1,0.4615722364834429,16,1,0.6596111183101496,7,0
Ты только тратишь время людей.,32,6,4,1,4,0.3360578338278394,21,1,0.44386698178454376,7,1
Ваш комментарий очень поддерживает. !,35,6,0,2,4,0.021182023450593723,19,0,0.12133671102648169,2,0
"Прекрасный день, чтобы обсудить эту тему.",40,7,1,0,5,0.9786628240216038,21,0,0.4257901617149322,4,0
Какой ужасный комментарий.,24,2,3,2,3,0.11172438079520186,16,0,0.7942789527227003,8,1
"Прекрасный день, чтобы обсудить эту тему. слово",46,7,1,1,2,0.440710428418296,23,1,0.18455890202033154,0,0
Это действительно хороший совет.,31,3,1,1,4,0.2761235612647863,19,1,0.76353804678421,0,0
Очень полезная информация. ТЕКСТ,33,3,0,1,1,0.7888038137046607,23,0,0.250376740995365,2,0
Какой позорный текст!,23,3,5,2,0,0.9587946805684532,16,0,0.32077570260317567,4,1
это просто бред. текст,22,3,5,2,4,0.6945868774322684,10,1,0.9334368781830068,4,1
Ты ничего не понимаешь!,21,4,3,2,0,0.9714181128467112,14,0,0.43034556507244437,2,1
"Это была интересная статья, спасибо.",38,6,3,0,1,0.10307529067406307,19,0,0.30928551391009507,3,0
Это действительно хороший совет.,34,3,0,0,3,0.12986179833044742,18,0,0.10186616400380477,8,0
ты только тратишь время людей.,32,6,3,2,5,0.6177136552121885,18,0,0.49138421617983874,1,1
это замечательный комментарий!,32,4,2,0,0,0.6775196962180915,17,1,0.8541387077412043,2,0
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,26,3,3,0,0,0.2944901965978357,17,1,0.16579705623947472,6,0
"Мне нравится, как вы объясняете. ?",34,5,2,2,3,0.6906473802103212,17,0,0.6266303332716576,5,0
Зачем ты вообще пишешь?,21,3,5,1,2,0.013413391379279327,15,1,0.1606832449971649,9,1
Ты только тратишь время людей.,31,5,4,1,3,0.2645371359123395,22,1,0.5870781418661578,1,1
Ты ничего не понимаешь!,21,4,4,2,4,0.28865849121049103,14,1,0.05356769669119865,9,1
Это действительно хороший совет.,34,4,2,1,3,0.7272526054413891,15,0,0.9046872647879703,1,0
Спасибо за вашу помощь!,21,5,1,0,4,0.04212202938771903,15,1,0.8082258620494484,3,0
Мне понравился ваш пост.,24,3,2,1,1,0.15487541009461503,14,0,0.5791314450964936,2,0
"Это была интересная статья, спасибо.",34,4,0,1,2,0.0165648622891601,16,0,0.5550727600228412,7,0
Какой позорный текст!,23,4,5,1,0,0.43473477280078976,16,0,0.4522275345493362,9,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",34,6,0,0,2,0.13566027450637852,20,1,0.9571060978572223,2,0
Ваш комментарий очень поддерживает.,33,5,3,0,2,0.33358295168607965,18,1,0.1607368948627289,2,0
Ты совершенно некомпетентен.,30,3,2,2,1,0.2329994302314864,14,0,0.23527718814767684,3,1
Твои слова — это полный провал.,33,7,5,3,1,0.7735735115162105,19,1,0.6250782028096282,8,1
Это действительно хороший совет.,30,5,3,0,3,0.017018157904747366,18,1,0.4166073103616472,4,0
ты совершенно некомпетентен.,27,2,2,2,5,0.9617516188209675,13,1,0.5888117861153995,2,1
"Ужасный пост, удали это.",26,5,4,3,1,0.47479701244246086,16,1,0.5023514402316156,2,1
ты ничего не понимаешь!,22,4,4,3,0,0.5840940990532684,14,0,0.24171722970350362,4,1
Очень полезная информация.,24,2,1,1,1,0.28159375563526035,16,0,0.8460586609257105,4,0
Ты ничего не понимаешь!,21,4,2,2,3,0.5620511082872582,13,1,0.0993623322590591,4,1
Это замечательный комментарий!,31,4,3,0,5,0.5057818188908725,18,0,0.0006722282042651573,7,0
"Прекрасный день, чтобы обсудить эту тему.",41,6,1,2,5,0.4117406927384575,22,1,0.4239343344047236,7,0
это просто бред.,18,3,5,2,5,0.8813801621918833,11,1,0.3818287620136084,3,1
мне понравился ваш пост.,22,3,0,0,4,0.6533381217360978,16,0,0.3067356037264599,9,0
Мне понравился ваш пост.,25,4,1,0,2,0.2723178649243878,15,1,0.9832952715351531,6,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,28,2,5,2,5,0.4676406424661771,15,0,0.5121237002425737,9,1
"Прекрасный день, чтобы обсудить эту тему.",40,5,2,2,0,0.1676357735917834,22,1,0.9971634335011459,7,0
Очень полезная информация.,24,3,1,2,1,0.37965763475086967,17,0,0.027046158486808358,8,0
Зачем ты вообще пишешь? пример,28,5,5,3,5,0.4351396110813961,20,0,0.5942842578577204,1,1
Это действительно хороший совет.,34,4,3,0,5,0.19110411292202423,15,0,0.462223622924846,7,0
ты совершенно некомпетентен.,30,2,5,3,0,0.7416838965277356,16,1,0.7917632763744017,10,1
Это просто бред. ?,18,4,2,1,1,0.22845108477294118,11,1,0.19305952055592113,4,1
Ты ничего не понимаешь!,21,5,4,1,1,0.40863778435393805,14,0,0.7367761136161911,8,1
Ты совершенно некомпетентен.,28,3,5,2,5,0.7884758380393198,14,1,0.1513263270425409,2,1
Это замечательный комментарий! !,32,3,2,1,3,0.41665305073164594,17,0,0.07050674524351386,1,0
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ.,24,3,5,2,3,0.7662219432253727,16,1,0.4427538324028433,5,1
ваш комментарий очень поддерживает.,34,4,1,2,0,0.91828346836306,17,1,0.9492739665445041,4,0
это замечательный комментарий!,31,2,0,2,0,0.2565194548701969,20,1,0.15494247495443902,5,0
Какой ужасный комментарий.,27,3,5,2,1,0.5076382589928969,16,1,0.36585736405475267,2,1
ты ничего не понимаешь!,22,4,2,1,4,0.5446519977672479,17,0,0.9370427057062382,9,1
Очень полезная информация.,27,3,1,2,2,0.4045203700874729,17,0,0.08365875998245953,1,0
Мне понравился ваш пост. слово,32,6,1,0,0,0.5762735353235882,15,0,0.21166245060708144,4,0
какой ужасный комментарий.,26,4,5,2,1,0.2132654209077366,16,1,0.31220115413968375,10,1
Спасибо за вашу помощь!,21,5,0,2,3,0.45920822064899314,18,0,0.2858917451160021,7,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН. !,29,3,5,1,0,0.6285166152852321,13,0,0.9297750316277479,6,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",34,6,0,1,5,0.6166757427630893,16,1,0.9570110747047573,7,0
Ты совершенно некомпетентен.,30,3,4,1,0,0.8886882174156538,15,1,0.3152600103488242,6,1
Это действительно хороший совет.,33,4,1,0,4,0.2048338739618346,15,1,0.17426515905216233,9,0
Мне понравился ваш пост.,25,4,3,0,1,0.09341638281977782,17,1,0.11995593545347616,10,0
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ. СЛОВО,32,3,2,2,1,0.40654854600350554,17,0,0.4731834732843254,8,0
это замечательный комментарий!,31,4,0,1,2,0.9342484978353304,20,1,0.7287533091627687,3,0
какой ужасный комментарий.,25,3,2,2,5,0.6884550077249999,18,0,0.20554685398521966,2,1
"Ужасный пост, удали это.",25,5,2,3,0,0.0022302492534168605,18,1,0.7471696512100964,9,1
"Ужасный пост, удали это. слово",31,4,5,2,5,0.06864843060069137,19,1,0.657577177164988,8,1
Какой позорный текст!,20,2,5,2,2,0.7772751315470013,14,1,0.2774555260757404,0,1
"Мне нравится, как вы объясняете.",31,4,3,2,4,0.9407803385943735,19,0,0.3520244074658727,0,0
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",33,4,1,0,5,0.48386768549548853,20,1,0.7679216702701959,8,0
"Мне нравится, как вы объясняете.",33,4,0,0,1,0.7398758421975281,19,0,0.8964948715132034,4,0
Твои слова — это полный провал.,32,6,3,3,5,0.39617818026688145,18,1,0.09318118779422513,6,1
"Мне нравится, как вы объясняете.",30,4,1,1,2,0.26038494570451776,17,1,0.016436036785213437,4,0
Зачем ты вообще пишешь?,25,4,3,1,4,0.9679242751510027,17,1,0.5877191276246512,3,1
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ. ?",43,6,3,2,0,0.08336359164390239,23,0,0.08037288523845088,8,0
Твои слова — это полный провал.,30,5,2,2,3,0.07756006323216957,17,1,0.6183677890445965,0,1
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,25,4,2,2,1,0.6236532828856967,18,1,0.18560347935298593,10,0
"Мне нравится, как вы объясняете.",33,4,2,1,1,0.4233406291084939,20,1,0.6140231292731995,8,0
Никогда не читал ничего хуже. слово,33,5,4,1,5,0.04449205092152786,19,1,0.5051116819229089,6,1
Это просто бред.,17,3,2,3,1,0.25392820604017596,11,0,0.07259009845598441,1,1
Спасибо за вашу помощь! пример,28,6,3,2,2,0.3335892374828242,19,0,0.41108035526840303,2,0
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ. !,27,3,2,1,3,0.690929539053936,15,0,0.6552707568031026,5,1
"ВЫ ОТЛИЧНО СПРАВИЛИСЬ, ПРОДОЛЖАЙТЕ В ТОМ ЖЕ ДУХЕ!",48,7,3,0,3,0.21195233426960502,22,0,0.43585569423314585,5,0
Какой ужасный комментарий.,24,4,3,1,2,0.8806948604879203,18,1,0.7524214813303529,7,1
Ты только тратишь время людей.,32,4,4,3,2,0.14968584529504325,20,1,0.6969874772430407,3,1
Никогда не читал ничего хуже.,31,5,2,1,3,0.5977493116491455,16,0,0.5446187862465286,4,1
Твои слова — это полный провал.,29,5,2,3,4,0.6420886818519219,17,0,0.7837585058226657,0,1
"Прекрасный день, чтобы обсудить эту тему. слово",49,8,2,2,0,0.3289839281136402,22,0,0.11758004923150489,5,0
Твои слова — это полный провал.,29,6,2,3,5,0.03910893069665189,16,1,0.2996099176457946,10,1
Зачем ты вообще пишешь?,22,4,4,1,2,0.7831847723630093,17,0,0.876696160153471,4,1
какой позорный текст!,20,3,3,1,4,0.3608818414676135,16,0,0.8356793152073245,10,1
НИКОГДА НЕ ЧИТАЛ НИЧЕГО ХУЖЕ.,28,4,2,2,4,0.9751641319268674,16,0,0.278462837125929,8,1
зачем ты вообще пишешь?,25,4,5,1,0,0.5454318473480976,18,1,0.45386057008647607,9,1
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ.",42,7,1,0,2,0.4352923655170947,22,1,0.7899118103643014,8,0
"мне нравится, как вы объясняете.",31,5,0,0,4,0.007480463014662431,20,0,0.9396094505847156,7,0
"Вы отлично справились, продолжайте в том же духе!",50,7,0,0,2,0.9720245184096576,25,1,0.18631248388224086,10,0
Какой позорный текст!,19,4,2,2,2,0.5183884673334123,17,0,0.6255936760386087,8,1
"Ужасный пост, удали это.",25,4,4,1,4,0.8816061040548321,16,1,0.06519341841334836,4,1
"ЭТО БЫЛА ИНТЕРЕСНАЯ СТАТЬЯ, СПАСИБО.",35,5,1,0,5,0.7458745442273129,20,0,0.9021647172889918,5,0
Ты ничего не понимаешь! пример,32,4,2,3,2,0.9546636647817227,16,0,0.8337761661380443,5,1
Это замечательный комментарий!,32,2,3,0,4,0.7947208372445566,16,1,0.5143220356541381,4,0
Никогда не читал ничего хуже.,27,4,3,1,3,0.3298836437981101,19,0,0.6386131286897427,5,1
"прекрасный день, чтобы обсудить эту тему. ?",43,6,3,0,4,0.18046745340705583,25,1,0.5946586575893713,9,0
очень полезная информация.,28,3,3,2,4,0.5656746052147139,18,1,0.854844183444263,8,0
ТЫ НИЧЕГО НЕ ПОНИМАЕШЬ! ?,26,6,4,3,5,0.5943228650595779,16,1,0.644289789862362,4,1
Твои слова — это полный провал.,30,7,3,2,2,0.45013406433918446,17,1,0.3258056109986247,7,1
Ваш комментарий очень поддерживает.,35,5,1,2,5,0.41768825552428424,20,0,0.7942073061818276,6,0
Зачем ты вообще пишешь?,21,3,5,1,4,0.005000452970324809,19,0,0.6960072390597795,7,1
Это просто бред.,17,2,5,2,4,0.657455742219854,12,0,0.5624178136174529,0,1
Никогда не читал ничего хуже. .,32,6,5,1,2,0.9446790594899785,17,1,0.9599424382529389,4,1
это просто бред.,16,2,2,1,4,0.09152228205042157,9,0,0.02123960249393686,1,1
"Прекрасный день, чтобы обсудить эту тему.",42,7,0,2,3,0.6973008709893105,20,1,0.7614367955326992,2,0
Какой позорный текст!,23,3,3,3,0,0.6569308596263816,13,1,0.15389191442650463,5,1
твои слова — это полный провал.,30,5,5,3,4,0.8714329242407841,17,1,0.34047912804552916,2,1
"Вы отлично справились, продолжайте в том же духе!",47,8,3,0,2,0.6347255348043613,23,0,0.19580930795295648,3,0
"это была интересная статья, спасибо.",38,6,1,0,0,0.4036037405248578,17,1,0.2394200105883003,3,0
"прекрасный день, чтобы обсудить эту тему.",42,5,1,1,5,0.5061548877279051,22,1,0.3596304660733791,9,0
ваш комментарий очень поддерживает. текст,41,4,0,2,1,0.8850565499836407,19,1,0.5234927090574563,10,0
"Мне нравится, как вы объясняете. .",32,5,1,1,0,0.5631084193669825,17,1,0.6190087836240865,4,0
Мне понравился ваш пост.,22,3,2,2,5,0.6716163557634417,14,1,0.30897849800569466,4,0
очень полезная информация.,26,4,3,1,1,0.3352665471202769,19,1,0.6316556088191517,4,0
Какой позорный текст!,21,4,4,3,4,0.8678938442915131,14,1,0.6023384080628248,3,1
"Это была интересная статья, спасибо. ТЕКСТ",41,5,1,0,1,0.5341702087689095,24,0,0.7899346351858741,8,0
Ты совершенно некомпетентен. слово,35,3,2,1,3,0.41625171121503357,17,0,0.3704092799304346,2,1
Зачем ты вообще пишешь?,25,4,5,3,3,0.4030393473450624,15,1,0.8475277858636798,8,1
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,22,4,4,3,0,0.4575844019251747,18,1,0.1455875364252055,2,1
Ваш комментарий очень поддерживает.,33,4,2,2,5,0.817504206069396,18,0,0.1558145398313071,2,0
Какой позорный текст!,21,2,5,3,0,0.13188436672420079,16,0,0.3662172746234631,0,1
"Прекрасный день, чтобы обсудить эту тему.",43,7,3,1,0,0.3700200002054834,21,0,0.6269088131233314,7,0
Зачем ты вообще пишешь?,25,4,4,3,2,0.8103563219902739,19,0,0.286190261348105,6,1
Очень полезная информация. .,28,3,2,2,0,0.5831653684069733,16,1,0.5758412193837235,6,0
Ты ничего не понимаешь! ?,24,6,5,1,5,0.23737270505969543,17,0,0.30496717320096844,9,1
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,28,4,0,1,1,0.8111522180357815,15,1,0.8418583377950869,1,0
"УЖАСНЫЙ ПОСТ, УДАЛИ ЭТО. СЛОВО",31,6,5,2,0,0.5988268333560848,18,0,0.5934379561896896,8,1
Спасибо за вашу помощь! слово,30,5,2,1,4,0.9988434279066755,17,0,0.0436342790749652,8,0
"ЭТО БЫЛА ИНТЕРЕСНАЯ СТАТЬЯ, СПАСИБО.",37,4,3,2,1,0.8805243322458223,20,0,0.824242668307216,0,0
Ты только тратишь время людей.,28,5,2,1,4,0.2599805162291152,19,1,0.8303274371471263,10,1
Очень полезная информация.,27,2,1,1,3,0.8645292106887061,19,1,0.9765248846441287,6,0
Ты совершенно некомпетентен. ТЕКСТ,36,3,5,3,0,0.03451108055185592,17,1,0.9590450398637598,3,1
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,21,5,3,3,1,0.8375527497059797,18,1,0.9329823302282554,8,1
Ты совершенно некомпетентен.,29,4,4,3,2,0.31183559698582064,16,0,0.9355426374576202,5,1
это просто бред.,18,4,5,3,5,0.31831048483755475,11,1,0.11695812687810869,5,1
Ты совершенно некомпетентен. !,32,5,2,3,4,0.31288491560141707,17,0,0.6558703840845559,0,1
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ.,26,2,2,2,4,0.05862440195746088,16,0,0.21883586549074585,6,1
ТВОИ СЛОВА — ЭТО ПОЛНЫЙ ПРОВАЛ. СЛОВО,38,7,5,3,1,0.5340346078790238,17,0,0.8438688574952468,9,1
Очень полезная информация.,25,3,3,0,0,0.7484115886140716,16,1,0.03184561922922613,3,0
Ты ничего не понимаешь!,23,4,2,1,1,0.25757861605313703,14,0,0.35029926461887184,0,1
Это действительно хороший совет.,33,3,0,0,5,0.7058104217618356,18,0,0.6132650314008761,3,0
"Вы отлично справились, продолжайте в том же духе! !",49,9,2,1,1,0.36261212348261185,24,0,0.08860778583854545,7,0
"Это была интересная статья, спасибо. слово",41,5,2,1,0,0.7617278691318534,18,0,0.5800658442249166,3,0
Мне понравился ваш пост.,22,5,0,2,2,0.25453147328151915,17,1,0.03840413118458852,6,0
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,25,3,0,0,4,0.6883803403850136,15,0,0.9953503227812751,8,0
Какой позорный текст! слово,25,4,5,2,4,0.5682960674483356,15,1,0.35298815859603294,9,1
Очень полезная информация.,25,3,0,2,2,0.8631412087135523,20,0,0.8282887321505088,0,0
Спасибо за вашу помощь!,21,5,0,0,3,0.9511680663494323,14,1,0.2498122215978923,0,0
Это замечательный комментарий!,32,4,1,2,0,0.942997397079555,20,0,0.34490999622826324,3,0
"Прекрасный день, чтобы обсудить эту тему. ТЕКСТ",46,8,1,2,5,0.9555946783466465,25,0,0.00489147211383989,0,0
Какой ужасный комментарий. ТЕКСТ,34,4,3,2,2,0.9082556944446492,21,1,0.9969382875581965,5,1
"Ужасный пост, удали это.",22,3,5,2,0,0.6246333218115954,17,0,0.48888956088735525,5,1
Ваш комментарий очень поддерживает.,33,3,3,2,1,0.5999926535461647,18,1,0.6705563838172166,6,0
Какой позорный текст!,21,4,3,3,1,0.37846168189202234,15,0,0.17350964557509552,2,1
Спасибо за вашу помощь!,25,4,3,0,4,0.8263205674248484,17,1,0.7698233248490239,2,0
ты ничего не понимаешь!,22,5,2,1,4,0.04608690036238994,17,0,0.4888667974004238,7,1
какой позорный текст! ?,24,3,3,1,2,0.7833460991629606,14,0,0.7445911789922139,0,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",32,6,2,0,1,0.371911008107626,17,0,0.3663567875004382,9,0
Очень полезная информация.,26,3,2,2,1,0.3811575960527148,17,1,0.06123908220931673,5,0
Это действительно хороший совет.,31,3,0,2,5,0.332644722899313,18,0,0.7214861919074883,3,0
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ.,29,6,2,1,0,0.343354381422042,19,0,0.6109898532692152,3,1
Ты совершенно некомпетентен.,27,4,3,1,3,0.9180463450286624,15,1,0.7742850307805709,3,1
Какой ужасный комментарий. слово,32,5,3,3,2,0.55492035348329,21,1,0.7641948923198671,4,1
Никогда не читал ничего хуже.,30,5,2,2,2,0.5100815119755471,15,1,0.6731608857543342,3,1
Зачем ты вообще пишешь?,22,5,2,2,4,0.555584554779112,17,1,0.9458929060897268,1,1
"вы отлично справились, продолжайте в том же духе!",47,9,1,2,4,0.5229287035439762,25,0,0.4232943771244301,9,0
Спасибо за вашу помощь!,22,4,0,2,0,0.922568787451721,15,0,0.7666867361534392,7,0
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,26,3,3,0,5,0.5115308480155515,15,1,0.8052848311549982,6,0
спасибо за вашу помощь!,21,3,2,0,4,0.9293518645236676,14,0,0.37292290769477454,7,0
Это действительно хороший совет.,32,4,1,1,3,0.4276739567036151,19,0,0.8364989043733391,10,0
Какой позорный текст! !,23,4,4,1,5,0.4698663903603604,14,1,0.7259982654610998,5,1
Это замечательный комментарий! !,31,3,0,2,5,0.30443248605985085,20,0,0.1092254310510331,0,0
мне понравился ваш пост. текст,31,5,2,0,3,0.9633089813339876,17,1,0.7680110055039088,5,0
